Metric,Daily Sent,Article Sent
Price-only,69.75398254394531,72.7186050415039
Kalshi,60.6122400597052,60.6122400597052
SPY,496.8316955566406,1391.0283203125
Mag7,88.19049835205078,
Tariffs,,
KalshiInput,,
AllExcKalshi,,
All,,
