date,mean_positive,mean_neutral,mean_negative
2020-07-14,0.2851700000464916,0.08152262517251074,0.6333073689602315
2020-07-30,0.25908865274063175,0.048664866168318055,0.6922464745119215
2020-07-31,0.5513449971164975,0.2776061703584024,0.17104883465383733
2020-08-03,0.5285839236591382,0.09332005453630637,0.37809601922023606
2020-08-05,0.28733510405290874,0.3094588632540156,0.4032060139191647
2020-08-13,0.2868581161093139,0.18702256468791262,0.5261193300113566
2020-08-14,0.33355013820850715,0.35998861059885134,0.30646124537187547
2020-08-18,0.4418492214185082,0.24840670978753931,0.3097440505814221
2020-08-20,0.3472177481786771,0.18312211026522246,0.46966012728146533
2020-08-24,0.6358770921619402,0.059777106746979475,0.30434577947016805
2020-08-25,0.08307445117582878,0.2975379307599117,0.6193876177072525
2020-08-26,0.3128576502462642,0.17118214818183333,0.5159601872450569
2020-09-01,0.4794787743579714,0.09978772449373667,0.4207335105698023
2020-09-02,0.45577493889140896,0.11197176016867161,0.4322533074300736
2020-09-08,0.19662222971187726,0.30958874342448506,0.49378903003998004
2020-09-10,0.20738764862958636,0.1017086581333304,0.6909036909824327
2020-09-11,0.3005175081487594,0.26753797525967804,0.43194451379201304
2020-09-14,0.36085522154042965,0.13048918898195858,0.5086555951010715
2020-09-15,0.3505643344141001,0.12090225607503255,0.5285334024276516
2020-09-16,0.3577865076551966,0.08489578285426914,0.5573177026655982
2020-09-21,0.28299623511218225,0.13210776734985683,0.5848959931019059
2020-09-22,0.2886109686318596,0.1562668028234708,0.555122231434354
2020-09-23,0.2679176122106262,0.31808596976386266,0.41399641791521147
2020-09-25,0.26775851102333126,0.32550889088459567,0.40673259512734394
2020-09-28,0.33179177577000896,0.15458305314527374,0.5136251675632264
2020-09-29,0.22951756310906476,0.22130081783275543,0.5491816119736296
2020-09-30,0.2421363415762966,0.23418043914699635,0.5236832156100392
2020-10-01,0.3525448027364656,0.232988018922871,0.4144671909950352
2020-10-02,0.32692054393036024,0.07570355873488421,0.5973758915173156
2020-10-05,0.288718774925471,0.10835050477623823,0.6029307156975588
2020-10-06,0.13487105836887323,0.30429171488181245,0.5608372246486295
2020-10-07,0.13903692300517273,0.3974747245189647,0.463488359099676
2020-10-09,0.1306145656077812,0.23238888750008,0.6369965615371863
2020-10-12,0.21204520206967437,0.21316905282893608,0.5747857419539874
2020-10-13,0.3988483563733447,0.0924059186454726,0.5087457296363257
2020-10-14,0.4514257489393155,0.11610375062252085,0.43247050009667876
2020-10-15,0.09000388764543459,0.22939617475494742,0.6805999267380685
2020-10-23,0.11834522026280563,0.17190668636208606,0.7097480988336934
2020-11-11,0.18301261588931084,0.11954653766006232,0.6974408514797688
2020-11-12,0.1691623138124123,0.33942751775961366,0.491410174658522
2020-11-13,0.13353476725751534,0.09374004622804932,0.7727251919762541
2020-11-23,0.2293248927374419,0.07042081404318443,0.7002542974128748
2020-11-30,0.06004280038177967,0.05904238112270832,0.8809148328644889
2020-12-03,0.07512979006225412,0.17498046591539274,0.7498897438247999
2020-12-09,0.3451821923566361,0.28773816349954967,0.3670796281658113
2020-12-11,0.21592514996882528,0.2799297150486382,0.5041451196884736
2020-12-16,0.4498259158184131,0.0828850887871037,0.46728900059436757
2020-12-17,0.6043506940412852,0.035832252159404256,0.35981705024217564
2020-12-18,0.22630683371486762,0.2622075903539856,0.5114855926173428
2020-12-21,0.3522665890500245,0.1635535420034736,0.4841798723624461
2020-12-22,0.2902770379290408,0.12380300329825289,0.5859199634705408
2020-12-23,0.3085176445739601,0.15560258935187135,0.5358797712451216
2020-12-24,0.2372199899948856,0.12201627568756676,0.6407637222821013
