date,mean_positive,mean_neutral,mean_negative
2020-01-03,0.0768450390547514,0.021896174550056456,0.9012587904930115
2020-01-28,0.09000574243500044,0.2402653510339166,0.6697289006490457
2020-07-17,0.8635640144348145,0.010631757788360119,0.12580430507659912
2020-08-06,0.28100885787150925,0.3500792449340224,0.3689118919687139
2020-08-07,0.2744561287108809,0.3283943613059819,0.39714949298650026
2020-08-27,0.33967894611007066,0.37336290585633836,0.28695815326354934
2020-08-28,0.37790343269411614,0.22183112397633648,0.40026544085009097
2020-08-31,0.40939538784705487,0.19322669579851645,0.3973779317578889
2020-09-01,0.33176442406951423,0.26301196386777265,0.40522363578640325
2020-09-02,0.07661486838478596,0.25034665220882746,0.6730384828522802
2020-09-08,0.2065417395528412,0.2015192345890593,0.5919390269596639
2020-09-09,0.17199166010791822,0.3166659028174462,0.5113424338995975
2020-09-10,0.40438475852072586,0.3048435789713799,0.29077166202729954
2020-09-11,0.5731746776232448,0.056083972187032205,0.37074135466693686
2020-09-14,0.23409460077273744,0.35113440681094893,0.4147709844449612
2020-09-15,0.2462970475307479,0.39594861786771807,0.3577543319209
2020-09-16,0.33352751524836155,0.37924449491586304,0.28722798506535246
2020-09-17,0.21454898411821607,0.513337373928508,0.2721136393067025
2020-09-18,0.31320761294201954,0.37532020001581234,0.3114721874886685
2020-09-21,0.32255341832311074,0.3438899321444534,0.33355664927158524
2020-09-22,0.2919364100496834,0.22675381195838973,0.4813097891264728
2020-09-23,0.32161442967711634,0.29684945163252474,0.38153611267768983
2020-09-24,0.2876122630426702,0.49394254165685136,0.2184451853188605
2020-09-25,0.2756146910589781,0.43039711287328475,0.29398818749524547
2020-09-28,0.24706263264232312,0.36805544054746875,0.3848819189393355
2020-09-29,0.26561522145533717,0.31611731012874184,0.4182674553977919
2020-09-30,0.264864576430055,0.34340492656530003,0.3917305043037008
2020-10-01,0.2825489650287094,0.3770006779896134,0.34045034968340876
2020-10-05,0.35535890203675313,0.28402210555513213,0.36061899079656107
2020-10-06,0.31923534112307195,0.3423229353473313,0.3384417262185147
2020-10-07,0.26916931405813965,0.29422905290098256,0.43660162953236603
2020-10-08,0.27764420697164305,0.3909384270918699,0.3314173672355016
2020-10-09,0.3347985700009943,0.39562303922835257,0.26957838347001184
2020-10-12,0.2366841061570249,0.34017557664620934,0.4231403120020544
2020-10-13,0.2730378106349991,0.41862823435909385,0.3083339542693233
2020-10-14,0.2309946810793878,0.5873313743791213,0.18167393958594008
2020-10-15,0.3157513583990534,0.36559199156696104,0.31865665152045625
2020-10-16,0.3099924736881072,0.31926180607362076,0.3707457257382246
2020-10-19,0.24008012102007958,0.3908112351534064,0.3691086387502943
2020-10-20,0.4298627873436767,0.2779367446098047,0.2922004750558043
2020-10-21,0.3123760702054416,0.4570445725273636,0.2305793559123524
2020-10-22,0.37609596988396227,0.38644499443765407,0.2374590398001412
2020-10-23,0.25256326371780763,0.36910992631922623,0.3783268100910434
2020-10-26,0.34470845712792303,0.4005664318556055,0.2547251127017218
2020-10-27,0.28237161101856134,0.4591108908278666,0.25851750216776526
2020-10-28,0.30540505511447325,0.32692163927291257,0.36767329979542784
2020-10-29,0.19152434999808157,0.42458411845245536,0.3838915265422492
2020-10-30,0.4477648686467288,0.29513369327788513,0.2571014471001455
2020-11-02,0.20357025391423633,0.38615189518073634,0.41027785822877355
2020-11-03,0.31834365330065884,0.368414605786606,0.3132417385849631
2020-11-04,0.19140028696095598,0.3228932985821591,0.48570641575852863
2020-11-05,0.2186129144365629,0.4031383760699254,0.3782487124738484
2020-11-06,0.28637842707627725,0.300742502381203,0.4128790747396025
2020-11-09,0.27600498679898405,0.33677024277799417,0.3872247680288652
2020-11-10,0.26515337378859777,0.3536137890242589,0.38123282848755
2020-11-11,0.38108171216786907,0.286988331884766,0.33192996349705955
2020-11-12,0.2967552577744603,0.32366302886376747,0.37958171373140004
2020-11-13,0.3223685045162586,0.335424526745274,0.34220696334715256
2020-11-17,0.31257986358808687,0.2608690241864548,0.4265511265495919
2020-11-18,0.29746300110021723,0.3828314683481982,0.31970553460722834
2020-11-19,0.38178373703839863,0.19196612448515124,0.42625013354826286
2020-11-20,0.22080340783518318,0.33596317153061117,0.44323342463565735
2020-11-23,0.4671687723010439,0.22754021173794614,0.30529102821354615
2020-11-24,0.2696269737566765,0.3428203734156929,0.38755265149549173
2020-11-25,0.4049574677336442,0.28778732668717283,0.3072551988198289
2020-11-26,0.37343193661576757,0.3422701619192958,0.2842978942859918
2020-11-27,0.1521433159073773,0.3776809901071183,0.47017568235753476
2020-11-30,0.3252160628223355,0.3563270836106411,0.3184568474940742
2020-12-01,0.12085176268592476,0.5258680586703122,0.35328016700223086
2020-12-02,0.3314620849993167,0.292726380917587,0.3758115391538166
2020-12-03,0.23190487531665913,0.25872606203275494,0.5093690639875982
2020-12-04,0.3851570979402288,0.2780743779698898,0.33676852417336156
2020-12-07,0.300933498295097,0.3399571437279141,0.35910936315797554
2020-12-08,0.28924483872490936,0.3649236833847057,0.3458314716346553
2020-12-09,0.2687173061015507,0.3406589867129844,0.3906237100742917
2020-12-10,0.2787555354074569,0.34788620687312083,0.3733582625309944
2020-12-11,0.25567229902501115,0.3011220887038184,0.443205601263455
2020-12-14,0.29512359652331793,0.2946268978049314,0.41024950879253813
2020-12-16,0.3897140730867104,0.31086188718552465,0.29942404271134
2020-12-17,0.34291017840937604,0.36574271103381223,0.2913471145555229
2020-12-18,0.24961194652652935,0.2592954982962074,0.4910925635758825
2020-12-21,0.2598894301233557,0.4100663932418559,0.33004418909273875
2020-12-23,0.21105136235171204,0.25642062547866923,0.5325280106102156
2020-12-24,0.33974590330946963,0.3268285401905127,0.3334255579138106
2020-12-25,0.4272882957011461,0.038280376722104846,0.5344312992878258
2020-12-29,0.3783913518393927,0.16175445236415412,0.4598541942061747
2020-12-30,0.1363284928156204,0.4499240695315441,0.4137474319135601
2020-12-31,0.19364888873522326,0.489004214631499,0.3173469009158643
2021-01-04,0.32058512477162954,0.39869198414361434,0.28072289223503044
2021-01-05,0.24664511641908082,0.3310127221859175,0.4223421675126804
2021-01-06,0.398748072730405,0.34542289847334035,0.25582902606737445
2021-01-07,0.20351853940365436,0.45517161865825145,0.34130983907462886
2021-01-08,0.22000974901680145,0.40026719554166634,0.3797230556419867
2021-01-11,0.3641072790325135,0.3095635642583961,0.3263291558919995
2021-01-12,0.3169567679869864,0.3969344610421732,0.2861087730757453
2021-01-13,0.3755577744120576,0.23734712136909364,0.387095098796611
2021-01-14,0.3221599745494164,0.31341635578841354,0.36442366714871516
2021-01-15,0.2296138165636882,0.42069201950524227,0.34969416402694786
2021-01-19,0.32127072986307004,0.36933390808797306,0.3093953623392043
2021-01-20,0.33216464971113835,0.27820091840610034,0.3896344364106258
2021-01-21,0.31061076048838476,0.29351198377637633,0.3958772574595752
2021-01-22,0.35444772130129687,0.3510016620142773,0.29455062126902326
